project,project_url,policy_url,ai_llms_allowed,disclosure_required,copyright_statement,human_in_loop,notes,github_owner,github_repo,is_github,resolved_by_hand
MirBSD,https://mbsd.evolvis.org/subprj.htm,https://mbsd.evolvis.org/permalinks/wlog2021_e20240726.htm#e20240726_wlog2021,No,-,Yes,-,-,,,False,False
Molecular Nodes,https://bradyajohnston.github.io/MolecularNodes/,https://github.com/BradyAJohnston/MolecularNodes/blob/main/AI_POLICY.md,Yes*,Yes,No,Yes,"No ""substantial"" contributions generated by AI tools.",BradyAJohnston,MolecularNodes,True,False
Musl,https://musl.libc.org,https://www.openwall.com/lists/musl/2026/03/01/4,No,-,Yes,-,Threats reading an AI generated solution as being potentially tainted by proprietary code.,,,False,False
napari,https://napari.org,https://napari.org/dev/developers/contributing/ai.html,Yes,Yes,No,Yes,,napari,napari,True,True
NetBSD,https://www.netbsd.org/,https://www.netbsd.org/developers/commit-guidelines.html,Yes*,Yes,No,No,AI-assisted contributions require explicit core approval,,,False,False
NumPy,https://numpy.org,https://numpy.org/devdocs/dev/ai_policy.html,Yes,Yes,Yes,Yes,[Mailing list discussion](https://mail.python.org/archives/list/numpy-discussion@python.org/thread/LAR7P3KQWHWAIKYSHTS2MY7X4HUBVA3L/),numpy,numpy,True,True
nvim-tree,https://github.com/nvim-tree/nvim-tree.lua,https://github.com/nvim-tree/nvim-tree.lua?tab=contributing-ov-file#ai-usage-policy-highly-discouraged,Yes*,Yes,No,Yes,"""AI generated code is discouraged as this doesn't match (these) nvim-tree values.""""",nvim-tree,nvim-tree.lua,True,False
OCaml,https://github.com/ocaml/ocaml,https://github.com/ocaml/ocaml/blob/trunk/AI.md,Yes,Yes,Yes,Yes,,ocaml,ocaml,True,False
Open edX,https://openedx.org/,https://github.com/openedx/.github/blob/master/AI_POLICY.md,Yes*,Yes,No,Yes,"Only specific tools with a ""sufficient reputation for proper training"" are allowed.",openedx,.github,True,False
OpenInfra,https://openinfra.org/,https://openinfra.org/legal/ai-policy,Yes,Yes,Yes,Yes,"Required use of ""Assisted-by:"" or ""Generated-by:"". Open Source AI models recommended.",,,False,False
OpenJDK,https://openjdk.org/,https://openjdk.org/legal/ai,No,-,-,-,Interim policy.,,,False,False
OpenTTD,https://www.openttd.org,https://github.com/OpenTTD/OpenTTD/blob/master/CONTRIBUTING.md#use-of-ai,No,-,?,-,"""Additionally, AI-generated code conflicts with this project's license (GPL v2), since you cannot truly release code for use if you didn't author it yourself.""",OpenTTD,OpenTTD,True,False
Oxide,https://oxide.computer/,https://rfd.shared.oxide.computer/rfd/0576,Yes,-,No,Yes,"Comprehensive, extensive policy.",,,False,False
Pallets,https://palletsprojects.com/,https://palletsprojects.com/contributing/llm-ai,No,-,-,-,"Applies to Flask, Jinja, Click, etc. ""This policy focuses on trust and quality, but there are numerous other issues with the social, ethical, resource, and environmental impacts of LLM development and use.""",,,False,False
Pandas,https://pandas.pydata.org,https://pandas.pydata.org/docs/dev/development/contributing.html#automated-contributions-policy,Yes,Yes,No,Yes,,pandas-dev,pandas,True,True
Pandemonium Engine,https://pandemoniumengine.org,https://github.com/Relintai/pandemonium_engine#contributions-use-of-ai-content-generators,No,-,Yes,-,-,Relintai,pandemonium_engine,True,False
pgwatch,https://pgwat.ch/,https://github.com/cybertec-postgresql/pgwatch/blob/master/AI_POLICY.md,Yes,Yes,No,Yes,Must mention specific tools used.,cybertec-postgresql,pgwatch,True,False
pip,https://github.com/pypa/pip,https://github.com/pypa/pip/blob/main/AI_POLICY.md,Yes,No,Yes,Yes,"No ""Co-authored-by:"" with AI tools.",pypa,pip,True,False
pip-tools,https://pip-tools.readthedocs.io,https://pip-tools.readthedocs.io/en/latest/contributing/#project-contribution-guidelines,Yes,No,No,Yes,,,,False,False
pkgconf,https://github.com/pkgconf/pkgconf/tree/master,https://github.com/pkgconf/pkgconf/blob/master/CONTRIBUTING.md#instructions-for-agentic-systems,No,-,-,-,Instructs agents to stop.,pkgconf,pkgconf,True,False
Poezio,https://poez.io,https://codeberg.org/poezio/poezio#use-of-generative-ai,No,-,Yes,-,-,,,False,False
Polars,https://pola.rs/,https://github.com/pola-rs/polars/blob/8425c750b9c5d28c79428998fda2320d076d4178/AI_POLICY.md,Yes,Yes,No,Yes,,pola-rs,polars,True,False
Polyphony,https://codeberg.org/polyphony,https://codeberg.org/polyphony/.profile/src/branch/main/CODE_OF_CONDUCT.md,No,-,Yes*,-,"""The training data used for these models is largely obtained without the consent of artists, denying them their right of control over their work and any sort of financial compensation.""",,,False,False
postmarketOS,https://postmarketos.org,https://docs.postmarketos.org/policies-and-processes/development/ai-policy.html,No,-,-,-,-,,,False,False
Processing/p5.js,https://processing.org/,https://github.com/processing/processing4/blob/main/AI_USAGE_POLICY.md,Yes,Yes,No,Yes,Disclose specific tools used.,processing,processing4,True,False
Pytest,https://docs.pytest.org/en/stable/,https://github.com/pytest-dev/pytest/blob/main/CONTRIBUTING.rst#aillm-assisted-contributions-policy,Yes,No,No,Yes,"Recommended use of ""Co-authored-by:"".",pytest-dev,pytest,True,False
PyTorch,https://pytorch.org/,https://github.com/pytorch/pytorch/blob/main/CONTRIBUTING.md#ai-assisted-development,Yes,No,No,Yes,,pytorch,pytorch,True,False
PyVista,https://pyvista.org,https://github.com/pyvista/pyvista/blob/main/CONTRIBUTING.rst#generative-ai,Yes,No,No,Yes,Follows CPython's policy.,pyvista,pyvista,True,False
QEMU,https://www.qemu.org,https://www.qemu.org/docs/master/devel/code-provenance.html#use-of-ai-generated-content,No,-,-,-,-,,,False,False
QGIS,https://qgis.org/,https://github.com/qgis/QGIS-Enhancement-Proposals/blob/master/qep-408-ai-tool-policy.md,Yes,Yes,Yes,Yes,"Use ""Assisted-by:"" or ""Generated-by:"" labels.",qgis,QGIS-Enhancement-Proposals,True,False
qutip,https://qutip.org/,https://github.com/qutip/qutip/blob/master/CONTRIBUTING.md#ai-tools-usage-policy,Yes,Yes,Yes,Yes,"No AI contributions to ""good first issues"".",qutip,qutip,True,False
Redox OS,https://www.redox-os.org/,https://gitlab.redox-os.org/redox-os/redox/-/blob/master/CONTRIBUTING.md#ai-policy,No,-,-,-,-,,,False,False
Requests,https://requests.readthedocs.io/en/latest/,https://github.com/psf/requests/blob/main/.github/AI_POLICY.md,Yes,No,Yes,Yes,"No ""Co-authored-by:"" with AI tools.",psf,requests,True,False
ruff,https://github.com/astral-sh/ruff,https://github.com/astral-sh/.github/blob/main/AI_POLICY.md,Yes,No,No,Yes,,astral-sh,ruff,True,False
Rust,https://rust-lang.org/,https://forge.rust-lang.org/policies/llm-usage.html,Yes,Yes,No,Yes,[Announcement (blog post)](https://blog.rust-lang.org/inside-rust/2026/08/05/rust-langrust-is-adopting-an-llm-policy/),rust-lang,rust,True,True
Schism Tracker,https://schismtracker.org,https://github.com/schismtracker/schismtracker/blob/master/AGENTS.md,No,-,Yes,-,"""Code generated by such LLMs may be based upon code under a license that is incompatible with the GPLv2.""",schismtracker,schismtracker,True,False
SciActive,https://sciactive.com,https://sciactive.com/human-contribution-policy/,No,-,-,-,-,,,False,False
scikit-image,https://scikit-image.org/,https://scikit-image.org/docs/dev/development/contribute.html#ai-policy,Yes,Yes,No,Yes,,scikit-image,scikit-image,True,True
scikit-learn,https://scikit-learn.org,https://scikit-learn.org/dev/developers/contributing.html#automated-contributions-policy,Yes,Yes,No,Yes,,scikit-learn,scikit-learn,True,True
SciPy,https://scipy.org,https://scipy.github.io/devdocs/dev/conduct/ai_policy.html,Yes,Yes,Yes,Yes,,scipy,scipy,True,True
SDL,https://libsdl.org/,https://github.com/libsdl-org/SDL/blob/main/.github/PULL_REQUEST_TEMPLATE.md,No,-,-,-,[AGENTS.md file](https://github.com/libsdl-org/SDL/blob/main/AGENTS.md),libsdl-org,SDL,True,False
